Company,TypeName,Inches,Ram,OpSys,Weight,Price,TouchScreen,IPS,HD_4K,CPU_Brand,GPU_Brand,Memory_Type,CPU_Frequency,Length,Width,PPI
HP,Notebook,15.6,4,Windows 10,1.0508216248317612,10.05939682228015,0,0,0,Intel,AMD,HDD,2.0,1366.0,768.0,4.6196120963719745
HP,Notebook,14.0,4,Windows 10,0.8919980393051105,9.409364986116808,0,0,0,Intel,Intel,SSD,1.6,1366.0,768.0,4.726814234417343
Lenovo,Notebook,15.6,4,Windows 10,1.0647107369924282,10.283693654349953,0,0,1,Intel,Intel,HDD,2.5,1920.0,1080.0,4.9573188885088015
Asus,Gaming,17.3,12,Linux,1.3862943611198906,10.830989602063529,0,0,1,Intel,Nvidia,HDD,2.8,1920.0,1080.0,4.854649288865456
Microsoft,Ultrabook,13.5,4,Windows 10 S,0.8118187102774439,10.968593383882295,1,0,0,Intel,Intel,SSD,2.5,2256.0,1504.0,5.307487987253548
Dell,Ultrabook,13.3,8,Windows 10,0.8754687373538999,10.837292019680758,0,1,1,Intel,AMD,SSD,1.8,1920.0,1080.0,5.115788496573994
Dell,Notebook,15.6,8,Windows 10,1.1631508098056809,10.744075810945498,0,0,1,Intel,AMD,SSD,1.8,1920.0,1080.0,4.9573188885088015
MSI,Gaming,17.3,8,Windows 10,1.308332819650179,10.974087808763938,0,0,1,Intel,Nvidia,Hybrid,2.5,1920.0,1080.0,4.854649288865456
Acer,Notebook,14.0,8,Windows 10,1.1314021114911006,9.939188617449547,0,0,0,Intel,Intel,HDD,2.0,1366.0,768.0,4.726814234417343
Asus,Gaming,15.6,8,Windows 10,1.1631508098056809,10.830989602063529,0,0,1,Intel,Nvidia,HDD,2.8,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,15.6,8,No OS,1.1631508098056809,10.227501072075105,0,0,1,Intel,Intel,HDD,2.5,1920.0,1080.0,4.9573188885088015
Dell,Notebook,15.6,8,Windows 10,1.1052568313867783,10.726684446704295,0,0,1,Intel,Intel,Hybrid,1.8,1920.0,1080.0,4.9573188885088015
Acer,Notebook,15.6,4,Windows 10,1.1631508098056809,10.248473444922546,0,0,1,Intel,Nvidia,HDD,2.7,1920.0,1080.0,4.9573188885088015
HP,Notebook,17.3,8,Windows 10,1.252762968495368,10.86006688870326,0,0,1,Intel,Nvidia,Hybrid,1.6,1920.0,1080.0,4.854649288865456
Dell,Ultrabook,15.6,8,Windows 10,1.0577902941478545,10.975146590629556,0,1,1,Intel,Intel,SSD,1.6,1920.0,1080.0,4.9573188885088015
Apple,Ultrabook,12.0,8,macOS,0.6523251860396903,11.295438385612048,0,1,0,Intel,Intel,SSD,1.3,2304.0,1440.0,5.426778948237757
HP,Notebook,14.0,8,Windows 10,0.9669838461896731,10.732515239391274,0,0,1,Intel,Intel,SSD,1.6,1920.0,1080.0,5.064811007262561
Lenovo,Notebook,15.6,4,Windows 10,1.1631508098056809,9.964569481536397,0,0,1,AMD,AMD,SSD,2.5,1920.0,1080.0,4.9573188885088015
Acer,Notebook,15.6,4,Windows 10,1.1314021114911006,9.954494305874713,0,0,0,AMD,AMD,HDD,3.0,1366.0,768.0,4.6196120963719745
Dell,Gaming,15.6,16,Windows 10,1.2947271675944,11.182693795440782,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
HP,Ultrabook,15.6,8,Windows 10,1.0402767116551463,10.525238618990686,0,1,1,Intel,Nvidia,SSD,1.8,1920.0,1080.0,4.9573188885088015
HP,Notebook,15.6,8,Windows 10,1.085189268335969,10.370837263253403,0,0,1,Intel,Intel,SSD,2.5,1920.0,1080.0,4.9573188885088015
Asus,Gaming,15.6,16,Windows 10,1.1631508098056809,11.25420292138043,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
Dell,Ultrabook,13.3,8,Windows 10,0.7929925155296614,11.38349673063646,0,1,1,Intel,Intel,SSD,1.8,1920.0,1080.0,5.115788496573994
Asus,Gaming,15.6,8,Windows 10,1.2383742310432684,10.525238618990686,0,0,1,AMD,AMD,HDD,3.0,1920.0,1080.0,4.9573188885088015
Acer,Notebook,15.6,8,Windows 10,1.1631508098056809,10.510829537468052,0,0,1,Intel,Nvidia,HDD,1.8,1920.0,1080.0,4.9573188885088015
HP,Notebook,13.3,16,Windows 10,0.9122827104766162,11.06315041150742,0,0,1,Intel,Intel,SSD,1.8,1920.0,1080.0,5.115788496573994
Dell,Gaming,15.6,8,Windows 10,1.2947271675944,11.061478196557058,0,0,1,Intel,Nvidia,SSD,2.5,1920.0,1080.0,4.9573188885088015
Asus,Ultrabook,14.0,8,Windows 10,0.8109302162163288,10.9311715265263,0,0,1,Intel,Intel,SSD,2.7,1920.0,1080.0,5.064811007262561
Acer,2 in 1 Convertible,13.3,8,Windows 10,0.9162907318741551,10.717283879751747,1,1,1,Intel,Intel,SSD,1.6,1920.0,1080.0,5.115788496573994
Dell,Notebook,15.6,8,Linux,1.1631508098056809,10.372355286897466,0,0,1,Intel,AMD,HDD,2.7,1920.0,1080.0,4.9573188885088015
Dell,Notebook,15.6,4,Linux,1.1631508098056809,10.159748614913156,0,0,1,Intel,AMD,SSD,2.0,1920.0,1080.0,4.9573188885088015
Asus,Notebook,15.6,6,Windows 10,1.0986122886681098,10.333435820406644,0,0,1,Intel,Nvidia,SSD,2.4,1920.0,1080.0,4.9573188885088015
HP,Gaming,15.6,12,Windows 10,1.2864740258376797,11.10567456328145,0,1,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
HP,Notebook,15.6,8,Windows 10,1.068153081183401,10.55344848760242,0,0,1,Intel,AMD,SSD,2.7,1920.0,1080.0,4.9573188885088015
HP,Notebook,15.6,4,Windows 10,1.1314021114911006,9.830686725695612,0,0,1,AMD,AMD,HDD,1.5,1920.0,1080.0,4.9573188885088015
Dell,Notebook,15.6,8,Linux,1.1631508098056809,10.447936329228463,0,0,1,Intel,AMD,HDD,1.6,1920.0,1080.0,4.9573188885088015
HP,Ultrabook,13.3,8,Windows 10,0.8671004876833833,10.995768507208373,0,1,1,Intel,Nvidia,SSD,2.7,1920.0,1080.0,5.115788496573994
Microsoft,Ultrabook,13.5,8,Windows 10 S,0.8118187102774439,11.175999925622857,1,0,0,Intel,Intel,SSD,2.5,2256.0,1504.0,5.307487987253548
HP,Notebook,14.0,6,Windows 10,0.9477893989335261,10.466313041010059,0,1,1,Intel,Nvidia,SSD,2.5,1920.0,1080.0,5.064811007262561
Lenovo,Notebook,15.6,4,Windows 10,1.0473189942805592,10.003643789397087,0,0,1,Intel,Intel,HDD,2.0,1920.0,1080.0,4.9573188885088015
Asus,Ultrabook,14.0,8,Windows 10,0.832909122935104,11.059803180619348,0,1,1,Intel,Nvidia,SSD,2.7,1920.0,1080.0,5.064811007262561
MSI,Gaming,15.6,16,Windows 10,1.1631508098056809,11.14492549142712,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,14.0,8,Windows 10,0.9477893989335261,11.275371074510403,0,1,1,Intel,Intel,SSD,2.7,1920.0,1080.0,5.064811007262561
Asus,Ultrabook,15.6,16,Windows 10,0.9162907318741551,11.116028941464197,0,0,1,Intel,Nvidia,Hybrid,1.8,1920.0,1080.0,4.9573188885088015
Dell,Ultrabook,13.3,8,Windows 10,0.8020015854720274,11.204688514352517,1,0,1,Intel,Intel,SSD,2.4,3200.0,1800.0,5.624210736923218
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,0.8628899551470398,11.219087416653776,1,1,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.115788496573994
HP,Notebook,14.0,4,Windows 10,0.9669838461896731,10.557612160311693,0,1,0,Intel,Intel,HDD,1.6,1366.0,768.0,4.726814234417343
Dell,Ultrabook,13.3,8,Windows 10,0.7929925155296614,11.371294156418369,0,1,1,Intel,Intel,SSD,1.6,1920.0,1080.0,5.115788496573994
HP,2 in 1 Convertible,13.3,8,Windows 10,0.8153648132841945,11.219080268761294,1,1,1,Intel,Intel,SSD,1.6,1920.0,1080.0,5.115788496573994
HP,Notebook,14.0,8,Windows 10,0.9669838461896731,10.963991522444166,0,0,1,Intel,Intel,SSD,1.8,1920.0,1080.0,5.064811007262561
Dell,Notebook,15.6,8,Windows 10,1.1505720275988207,11.005842535245586,0,1,1,Intel,Nvidia,Hybrid,1.8,1920.0,1080.0,4.9573188885088015
Asus,Notebook,17.3,4,Windows 10,1.0986122886681098,10.310648555135304,0,0,1,Intel,Nvidia,HDD,2.0,1920.0,1080.0,4.854649288865456
Asus,Notebook,15.6,8,Windows 10,0.9932517730102833,10.99487446761375,0,0,1,Intel,Nvidia,SSD,1.8,1920.0,1080.0,4.9573188885088015
Acer,Notebook,15.6,6,Windows 10,1.1314021114911006,10.147300806108744,1,1,1,Intel,Intel,HDD,2.4,1920.0,1080.0,4.9573188885088015
MSI,Gaming,15.6,16,Windows 10,1.0296194171811583,11.690469963100075,0,0,1,Intel,Nvidia,Hybrid,2.8,1920.0,1080.0,4.9573188885088015
Lenovo,Notebook,15.6,8,No OS,1.1631508098056809,10.419722121547444,0,0,1,Intel,Nvidia,SSD,2.5,1920.0,1080.0,4.9573188885088015
