Company,TypeName,Ram,OpSys,Weight,CPU,HDD,SSD,GPU,TouchScreen,IPS,PPI
HP,Ultrabook,8,Windows,1.34,Intel Core i7,,512,Intel,0,1,165.6321180513006
Lenovo,Notebook,8,Windows,2.02,Intel Core i5,,256,Intel,0,0,157.3505121487356
Apple,Ultrabook,8,Mac,1.37,Intel Core i5,,128,Intel,0,1,226.98300468106115
HP,Notebook,4,Other,1.86,Intel Core i3,1000,,Intel,0,0,100.45466986113651
HP,Workstation,8,Windows,3.0,Intel Core i7,,256,Nvidia,0,1,127.33567457123111
HP,Notebook,4,Windows,1.48,Intel Core i5,,256,Intel,0,0,157.3505121487356
HP,Notebook,8,Windows,1.64,Intel Core i5,,256,Intel,0,0,157.3505121487356
HP,Notebook,4,Windows,2.1,Intel Core i3,0,,Intel,0,0,100.45466986113651
Acer,Notebook,4,Windows,2.4,Intel Core i3,0,,Intel,0,0,100.45466986113651
Dell,Ultrabook,16,Windows,1.2,Intel Core i7,,512,Intel,1,0,276.053530085501
Acer,Notebook,4,Other,2.4,Intel Core i3,0,,Intel,0,0,100.45466986113651
Dell,Gaming,32,Windows,4.42,Intel Core i7,1000,256,Nvidia,0,1,127.33567457123111
HP,Notebook,8,Windows,2.04,AMD,2000,,AMD,0,0,100.45466986113651
Asus,Notebook,8,Windows,1.4,Intel Core i5,,256,Intel,0,0,276.053530085501
HP,2 in 1 Convertible,8,Windows,1.29,Intel Core i7,,512,Intel,1,1,331.2642361026012
HP,Notebook,8,Windows,1.48,Intel Core i5,,256,Intel,0,0,157.3505121487356
HP,Notebook,8,Windows,1.64,Intel Core i5,,256,Nvidia,0,0,157.3505121487356
Lenovo,Notebook,8,Windows,1.32,Intel Core i5,,256,Intel,0,1,157.3505121487356
Lenovo,2 in 1 Convertible,8,Windows,1.37,Intel Core i7,,512,Intel,1,1,165.6321180513006
Toshiba,Ultrabook,8,Windows,1.2,Intel Core i5,,256,Intel,0,0,165.6321180513006
HP,Notebook,8,Windows,1.86,Intel Core i5,1000,,Intel,0,0,141.21199808219862
